OBJECTID,Statistical area 2 (SA2) 2023 code,Statistical area 2 (SA2) 2023 name,Statistical area 2 (SA2) 2023 name no macrons,"Subject pop: Census usually resident population, Year: 2013, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: 2018, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: 2023, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: Change 2013-2018, Measure: Percent, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: Change 2018-2023, Measure: Percent, Var1: Census usually resident population (Total)",Area square kilometres,Land area square kilometres,Shape__Area,Shape__Length
1,364000,Motunau Island,Motunau Island,0,0,0,-998,-998,0.0814742,0.0814742,81511.57275,1427.156234
2,363301,Bluff,Bluff,1803,1797,1797,-0.3,0,10.13694889,10.13694889,10136839.52,25020.88984
3,363100,Woodend-Greenhills,Woodend-Greenhills,603,597,624,-1,4.5,173.6007658,173.6007658,173602462.8,166674.3521
4,363001,Clifton-Kew,Clifton-Kew,1755,1767,1863,0.7,5.4,3.77083153,3.77083153,3770612.488,11890.25338
5,362901,Kingswell,Kingswell,2085,2232,2280,7.1,2.2,1.9519156,1.9519156,1951802.813,5863.296821
6,362601,Heidelberg,Heidelberg,2055,2127,2205,3.5,3.7,1.30896833,1.30896833,1308996.44,5367.87018
7,362501,Strathern,Strathern,3798,3903,3912,2.8,0.2,1.76597488,1.76597488,1765842.827,5941.449378
8,362402,Rockdale,Rockdale,750,849,981,13.2,15.5,1.62676813,1.62676813,1626923.472,9043.712294
9,362401,Newfield,Newfield,2130,2127,2301,-0.1,8.2,1.42905134,1.42905134,1429008.537,6110.576675
10,362301,Kennington-Tisbury,Kennington-Tisbury,1278,1332,1419,4.2,6.5,36.24876521,36.24876521,36247676.62,41576.84287
11,362201,Appleby South (Invercargill City),Appleby South (Invercargill City),1608,1695,1671,5.4,-1.4,1.12435868,1.12435868,1124293.771,6714.596318
12,362100,Georgetown,Georgetown,1935,2040,2106,5.4,3.2,1.12355979,1.12355979,1123708.599,4591.618434
13,362001,Appleby North (Invercargill City),Appleby North (Invercargill City),1584,1734,1839,9.5,6.1,0.82389206,0.82389206,823884.4717,3933.352849
14,361900,Turnbull Thompson Park,Turnbull Thompson Park,1731,1764,1722,1.9,-2.4,1.48987636,1.48987636,1489956.659,7666.280468
15,361701,Glengarry,Glengarry,3033,3345,3420,10.3,2.2,2.32843863,2.32843863,2328421.732,6809.345079
16,361601,Richmond (Invercargill City),Richmond (Invercargill City),2661,2769,2754,4.1,-0.5,1.00633314,1.00633314,1006346.249,3997.332688
17,361502,Waverley (Invercargill City),Waverley (Invercargill City),1677,1779,1839,6.1,3.4,0.97966421,0.97966421,979587.2705,4941.244805
18,361501,Windsor,Windsor,3102,3243,3291,4.5,1.5,1.4273154,1.4273154,1427351.361,5454.236944
19,361300,Avenal,Avenal,1131,1263,1191,11.7,-5.7,1.42773302,1.42773302,1427795.437,5326.010603
20,361201,Rosedale-Hargest,Rosedale-Hargest,1998,2007,2043,0.5,1.8,1.31566525,1.31566525,1315661.039,5096.359318
21,361100,Gladstone (Invercargill City),Gladstone (Invercargill City),2385,2376,2385,-0.4,0.4,1.26945821,1.26945821,1269424.85,5366.924897
22,361000,Invercargill Central,Invercargill Central,1125,1365,1278,21.3,-6.4,9.18243087,9.18243087,9182493.654,19256.71652
23,360900,Otatara,Otatara,3036,3144,3432,3.6,9.2,19.95162879,19.95162879,19950733.08,22163.26644
24,360801,Myross Bush,Myross Bush,969,1029,1044,6.2,1.5,19.11275064,19.11275064,19112510.7,27401.64178
25,360701,Waikiwi,Waikiwi,3147,3333,3528,5.9,5.9,5.29693546,5.29693546,5296565.045,14083.86366
26,360601,Prestonville-Grasmere,Prestonville-Grasmere,2805,2979,2949,6.2,-1,2.35138429,2.35138429,2351685.711,7793.081806
27,360500,West Plains-Makarewa,West Plains-Makarewa,1509,1608,1725,6.6,7.3,87.86625161,87.86625161,87868432.73,78319.92495
28,360400,Mataura,Mataura,1509,1629,1650,8,1.3,5.3226597,5.3226597,5322817.556,16466.12457
29,360300,Gore South,Gore South,597,627,627,5,0,3.54367129,3.54367129,3543683.471,12198.3194
30,360200,Gore Main,Gore Main,1200,1251,1230,4.2,-1.7,0.60847302,0.60847302,608554.5073,4001.148078
31,360100,Gore Central,Gore Central,195,180,216,-7.7,20,1.02899157,1.02899157,1029060.703,5900.586766
32,360000,East Gore,East Gore,1440,1443,1485,0.2,2.9,3.69853607,3.69853607,3697851.714,13096.15812
33,359900,Gore West,Gore West,2703,2697,2835,-0.2,5.1,3.15463963,3.15463963,3154805.3,7533.353686
34,359800,Gore North,Gore North,1557,1713,1785,10,4.2,1.72781471,1.72781471,1727635.083,7287.473494
35,359700,Waimumu-Kaiwera,Waimumu-Kaiwera,1278,1302,1344,1.9,3.2,648.0161797,648.0161797,648015921.2,204678.7036
36,359600,Waikaka,Waikaka,1554,1560,1536,0.4,-1.5,586.7473866,586.7473866,586748646.8,165080.714
37,359500,Wyndham-Catlins,Wyndham-Catlins,2178,2196,2214,0.8,0.8,1381.834151,1381.834151,1381835781,253184.2498
38,359400,Awarua Plains,Awarua Plains,1026,1020,987,-0.6,-3.2,409.0950015,409.0950015,409095317.1,124147.4739
39,359300,Stewart Island,Stewart Island,378,408,486,7.9,19.1,1747.723162,1747.723162,1747716687,1057358.462
40,359100,Edendale-Woodlands,Edendale-Woodlands,2193,2262,2313,3.1,2.3,385.3964109,385.3964109,385395708.2,102182.6188
41,359000,Grove Bush,Grove Bush,1065,1158,1251,8.7,8,145.5571499,145.5571499,145556311.8,72623.91968
42,358900,Wallacetown,Wallacetown,1158,1173,1182,1.3,0.8,89.78588624,89.78588624,89785415.08,45894.30637
43,358801,Riverton,Riverton,1470,1620,1710,10.2,5.6,8.74449421,8.74449421,8744335.729,22303.00262
