Data_file_name,Column_name,Shapefile_name,Unit_count,Subject_population,Year,Measure,Variable1,Variable1_category,Field_name_alias
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),SA22023_V1_00,SA22023_V1,,,,,Dwelling address - Statistical area 2,Code,Statistical area 2 (SA2) 2023 code
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),SA22023_V1_00_NAME,SA22023__1,,,,,Dwelling address - Statistical area 2,Name,Statistical area 2 (SA2) 2023 name
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),SA22023_V1_00_NAME_ASCII,SA22023__2,,,,,Dwelling address - Statistical area 2,ASCII name,Statistical area 2 (SA2) 2023 name no macrons
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_1,VAR_5_1,Family,Families in households in occupied private dwellings,2013,Count,Count of families in households in occupied private dwellings,Total,"Subject pop: Families in households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Count of families in households in occupied private dwellings (Total)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_2,VAR_5_2,Family,Families in households in occupied private dwellings,2018,Count,Count of families in households in occupied private dwellings,Total,"Subject pop: Families in households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Count of families in households in occupied private dwellings (Total)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_3,VAR_5_3,Family,Families in households in occupied private dwellings,2023,Count,Count of families in households in occupied private dwellings,Total,"Subject pop: Families in households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Count of families in households in occupied private dwellings (Total)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_4,VAR_5_4,Family,Families in households in occupied private dwellings,2013,Count,Family type,Couple Without Children,"Subject pop: Families in households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Family type (Couple Without Children)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_5,VAR_5_5,Family,Families in households in occupied private dwellings,2013,Count,Family type,Couple With Child(ren),"Subject pop: Families in households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Family type (Couple With Child(ren))"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_6,VAR_5_6,Family,Families in households in occupied private dwellings,2013,Count,Family type,One Parent With Child(ren),"Subject pop: Families in households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Family type (One Parent With Child(ren))"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_7,VAR_5_7,Family,Families in households in occupied private dwellings,2013,Count,Family type,Total,"Subject pop: Families in households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Family type (Total)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_8,VAR_5_8,Family,Families in households in occupied private dwellings,2018,Count,Family type,Couple Without Children,"Subject pop: Families in households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Family type (Couple Without Children)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_9,VAR_5_9,Family,Families in households in occupied private dwellings,2018,Count,Family type,Couple With Child(ren),"Subject pop: Families in households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Family type (Couple With Child(ren))"
